registry,id,name,type,adapter,category,region_scope,enabled,working_status,last_tested_at,fetched_items,filtered_items,url,docs_url,requires_env,failure_or_disabled_reason,comments_next_action
conflict,crisisgroup-global,International Crisis Group,rss,,conflict-analysis,global,yes,working,2026-06-06T23:00:39.540Z,10,0,https://www.crisisgroup.org/rss,,,,Active and working in latest smoke test.
conflict,war-on-the-rocks,War on the Rocks,rss,,conflict-analysis,global,yes,working,2026-06-06T23:00:39.540Z,100,49,https://warontherocks.com/feed/,,,,Active and working in latest smoke test.
conflict,twz-feed,The War Zone,rss,,defense-tech,global,yes,working,2026-06-06T23:00:39.540Z,35,11,https://www.twz.com/feed,,,,Active and working in latest smoke test.
conflict,breaking-defense-feed,Breaking Defense,rss,,defense-tech,global,yes,working,2026-06-06T23:00:39.540Z,15,2,https://breakingdefense.com/feed/,,,,Active and working in latest smoke test.
conflict,defence-blog-feed,Defence Blog,rss,,defense-tech,global,yes,working,2026-06-06T23:00:39.540Z,10,5,https://defence-blog.com/feed/,,,,Active and working in latest smoke test.
conflict,overt-defense-feed,Overt Defense,rss,,defense-news,global,yes,working,2026-06-06T23:00:39.540Z,10,2,https://www.overtdefense.com/feed/,,,,Active and working in latest smoke test.
conflict,defense-advancement-feed,Defense Advancement,rss,,defense-tech,global,yes,working,2026-06-06T23:00:39.540Z,10,1,https://www.defenseadvancement.com/feed/,,,,Active and working in latest smoke test.
conflict,army-technology-feed,Army Technology,rss,,land,global,yes,working,2026-06-06T23:00:39.540Z,10,3,https://www.army-technology.com/feed/,,,,Active and working in latest smoke test.
conflict,airforce-technology-feed,Airforce Technology,rss,,air,global,yes,working,2026-06-06T23:00:39.540Z,10,1,https://www.airforce-technology.com/feed/,,,,Active and working in latest smoke test.
conflict,naval-technology-feed,Naval Technology,rss,,naval,global,yes,working,2026-06-06T23:00:39.540Z,10,0,https://www.naval-technology.com/feed/,,,,Active and working in latest smoke test.
conflict,defense-news-home,Defense News Home,rss,,defense-news,global,yes,working,2026-06-06T23:00:39.540Z,25,5,https://www.defensenews.com/arc/outboundfeeds/rss/,,,,Active and working in latest smoke test.
